Player,Team,Pos,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/40,DWS_40,skill_score,skill_z
Stefanie Dolson,WAS,C,43,653,8.5,0.20666689063013433,0.518,0.528,0.141,3.0,-0.16772646175951508,-0.02578854139579352,1.0,2.1,16.1,-1.1177027503279162,102,107.0,0.3,0.6,1.0,-0.14227120525588272,-0.22380630655480804,0.15182609641155392,0.20895522701852656
Emily Engstler,WAS,F,40,512,14.7,-0.2199605670747492,0.455,0.47,0.269,8.9,1.167063508404083,0.42309756685718525,2.8,5.1,20.2,-0.3500853956876871,96,99.0,0.0,1.1,1.1,0.08527336483708359,1.2383009534970562,-0.9862416785239736,-1.3233188129579867
Dana Evans,LVA,G,44,777,10.8,-0.21088338712358146,0.456,0.367,0.193,1.2,-1.3176993591312303,0.572726269608178,1.1,0.6,11.0,0.16165950740579912,101,110.0,0.4,0.4,0.8,-0.30056308010316357,-0.7042412197441875,0.8625764543532201,1.1658967610495081
Temi Fagbenle,GSV,C,39,925,12.9,0.2974386901418117,0.526,0.249,0.145,9.0,0.42779521723655184,-0.28229488896892424,2.0,2.6,18.0,-0.459745017779148,103,101.0,0.7,1.7,2.4,0.29303145057413965,0.8689698547212735,-0.6112666794817547,-0.8184591997375356
Sania Feagin,LAS,F,16,77,0.2,-1.4998429401893987,0.357,0.143,0.071,4.8,-0.29093784362077024,-0.7418687617041168,0.0,7.2,19.5,0.36270214790681177,66,112.0,-0.4,0.0,-0.3,-2.4968628436091853,-1.316385606695729,0.7650100664456734,1.0345351263054952
Leonie Fiebich,NYL,F,37,1041,12.1,1.2233110451609195,0.604,0.543,0.281,2.7,-0.5373606073432807,-0.5815522944709101,1.7,1.2,15.3,-1.0628729392821854,115,106.0,1.8,1.3,3.0,0.4315368410655105,0.16854966049868017,0.03772708026591107,0.05533435814124557
Rebekah Gardner,NYL,G,41,502,12.5,1.0236130862352295,0.591,0.382,0.245,6.6,-0.29093784362077024,-0.773932055150758,2.6,1.3,15.9,-0.9897665245545444,114,104.0,0.8,0.7,1.6,0.5106827784891509,0.3417086764862595,-0.15403760324849647,-0.20285417228268698
Luisa Geiselsoder,DAL,C,28,628,12.0,0.09774073121612151,0.511,0.525,0.061,4.2,0.4688656778569701,-0.4319235917199172,1.8,2.9,13.2,-0.7521706766897118,102,110.0,0.4,0.4,0.8,-0.25109686921338825,-0.5590031406744748,0.06771306592839474,0.09570695141350001
Allisha Gray,ATL,G,42,1451,19.7,0.7876064075048683,0.54,0.467,0.419,3.0,-0.16772646175951508,0.2520933351417647,1.6,0.9,10.3,0.7282342215450162,119,102.0,5.2,2.5,7.7,1.3713948479712406,0.7323574526656927,-0.3053278158948395,-0.40654860107331897
Chelsea Gray,LVA,G,44,1368,15.4,0.5515997287745072,0.521,0.444,0.27,2.1,-0.5168253770330714,1.4063718992208527,2.3,1.8,22.5,-0.057659736777123355,106,105.0,1.7,1.8,3.5,0.30292469275209466,0.24820711916396707,0.1753045937679478,0.24056625475270307
Brittney Griner,ATL,C,39,810,16.1,0.47898228916516533,0.527,0.063,0.282,5.4,1.0027816659224096,-0.8380586420440407,0.3,5.0,14.8,0.6916810141811959,102,100.0,0.7,1.7,2.4,0.4315368410655105,1.1792363708483788,-0.9889525882784325,-1.326968733228958
Megan Gustafson,LVA,C,20,226,5.6,-0.35611826634226523,0.465,0.684,0.263,4.1,-0.12665600113909647,-1.2548814568503779,0.7,2.3,8.6,-0.861830298781173,96,107.0,0.0,0.2,0.2,-0.4093887440606691,-0.2640931539051367,0.059216949483355055,0.08426793261684763
Dearica Hamby,LAS,F,44,1374,23.8,0.8511466671630424,0.586,0.095,0.417,10.0,1.0849225871632462,0.5192874471971091,2.5,1.4,14.9,1.2399791246385024,114,108.0,4.4,1.2,5.6,0.8767327390734879,-0.2778786445530486,-0.19737337337178704,-0.2612006759134305
Isabelle Harrison,NYL,F,34,360,17.2,0.3155930500441471,0.5,0.112,0.321,9.9,0.9001055143713637,-0.34642147586220684,2.9,0.5,13.1,0.6916810141811959,106,101.0,0.5,0.7,1.2,0.6096152002687015,0.9957347548524886,-0.8329001684418702,-1.1168625540915809
Tyasha Harris,DAL,G,5,82,13.7,0.8874553869677134,0.583,0.611,0.111,1.3,-1.3176993591312303,0.9681735554500877,1.2,2.3,13.7,-1.3187453908289284,125,115.0,0.2,0.0,0.2,0.21388551315049925,-1.316385606695729,1.1599354495498437,1.5662555788001462
Bria Hartley,CON,G,38,867,10.5,-0.056571327953729975,0.454,0.502,0.314,1.5,-0.9686004438576739,0.9254224975212327,1.7,0.0,17.1,0.4175319589525426,97,115.0,0.0,-0.1,-0.2,-0.7952251890009162,-1.4535356034262212,1.1631447417338692,1.5705765122353805
Tiffany Hayes,GSV,G,26,700,14.1,0.4154420295069922,0.504,0.426,0.338,3.1,-0.31147307393097934,0.6475406209836744,1.1,0.6,15.3,0.47236176999827273,107,105.0,1.1,0.9,1.9,0.3721773879977801,0.21244499971574551,0.061787290328675526,0.08772859342977589
Lexi Held,PHO,G,32,471,9.8,-0.20180620717241374,0.463,0.555,0.134,2.6,-1.1944879772699752,-0.3143581824155656,2.5,1.0,13.9,0.08855309267815852,94,105.0,-0.2,0.6,0.4,-0.389602259704759,0.19837932534677924,0.3091255739327194,0.4207404222554317
Natisha Hiedeman,MIN,G,44,833,17.9,0.7422205077490297,0.567,0.404,0.218,1.6,-0.8248538316862094,0.9254224975212327,2.0,1.0,13.8,0.4906383736801832,114,103.0,2.2,1.3,3.5,0.9459854343191734,0.5393378184535864,0.08761597775358959,0.12250387491958495
Naz Hillmon,ATL,F,44,1122,15.8,0.6514487082373523,0.552,0.55,0.197,7.4,0.9001055143713637,-0.015100776913579781,1.0,1.4,13.3,-0.62423445091634,118,102.0,2.7,2.0,4.8,0.9558786764971284,0.8032052518664259,-0.7472203521623091,-1.0015047861918913
Myisha Hines-Allen,DAL,F,40,882,13.8,0.16128099087429565,0.482,0.241,0.333,7.2,1.167063508404083,0.6261650920192469,1.8,1.9,23.4,-0.07593634045903383,98,109.0,0.1,0.6,0.8,-0.389602259704759,-0.5074805239383351,-0.0900658968533348,-0.11672381417825974
Joyner Holmes,LVA,F,6,29,-4.4,-1.9900106575524559,0.292,0.417,0.0,8.0,0.448330447546761,-1.6182654492456465,0.0,0.0,14.3,0.5820213920897342,61,110.0,-0.2,0.0,-0.1,-2.7441938980580614,-1.316385606695729,0.4388430421795163,0.595389694911715
Mackenzie Holmes,SEA,F,10,58,14.0,1.8405592818403245,0.714,0.0,0.0,6.0,-0.12665600113909647,-1.0838772251349575,4.4,1.5,0.0,-2.4336182154254518,156,98.0,0.1,0.1,0.3,1.1636367622341843,0.7337703789135284,-0.47094327471742636,-0.6295302843803833
Natasha Howard,IND,F,44,1060,19.3,0.7603748676513651,0.561,0.091,0.365,9.7,1.3724158115061755,-0.4960501786131998,2.5,2.1,16.8,0.47236176999827273,109,100.0,2.1,2.1,4.2,0.8272665281837126,1.0393596673345307,-1.037658320672608,-1.3925452577464597
Rhyne Howard,ATL,G,33,1151,18.2,0.11589509111845699,0.477,0.635,0.236,3.3,-0.4757549164126531,0.7971693237346675,2.3,2.0,9.1,0.9841066730917589,111,100.0,2.8,2.3,5.1,1.0251313717428134,1.0597291498661727,-0.301784356641298,-0.4017777510892539
Lexie Hull,IND,G,44,1189,10.5,-0.07472568785606544,0.487,0.502,0.12,6.2,-0.04451507989825995,-0.5815522944709101,2.2,0.5,11.5,-0.9897665245545444,107,105.0,1.1,1.6,2.7,0.17431254443867902,0.28373613817003274,-0.20047528295211453,-0.26537703133704266
Sabrina Ionescu,NYL,G,38,1194,20.4,0.23389843048363754,0.472,0.473,0.284,3.1,-0.18826169206972423,1.9086968298849003,2.1,1.2,13.4,1.843107046141539,107,104.0,2.6,1.7,4.3,0.7085476220482518,0.3766242775678616,0.05676113990731488,0.08096147465066432
