Player,Team,Pos,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/40
Anastasiia Kosu,MIN,F,21,80,13.6,.492,.448,.069,.517,15.2,11.1,9.8,0.7,4.6,16.4,24.5,99,105,0.0,0.1,0.1,.068
Leïla Lacan,CON,G,25,665,15.9,.548,.511,.307,.193,2.9,5.3,26.0,4.3,0.6,16.6,19.4,104,109,0.7,0.5,1.2,.070
Kitija Laksa,PHO,G,33,626,7.4,.505,.472,.667,.178,2.0,3.7,5.3,1.0,0.9,8.9,15.3,99,109,0.2,0.5,0.6,.040
Carla Leite,GSV,G,37,637,11.5,.505,.417,.338,.446,1.7,4.4,22.4,2.2,0.5,17.7,23.6,97,105,0.0,0.8,0.8,.051
Kyara Linskens,GSV,C,4,27,5.0,.400,.400,.200,.000,4.4,13.0,6.3,2.0,11.7,28.6,12.1,69,94,-0.1,0.1,0.0,.017
Jewell Loyd,LVA,G,44,1245,13.4,.536,.506,.614,.166,4.6,6.7,10.7,2.2,0.8,10.4,18.7,106,107,1.6,1.2,2.8,.091
Marina Mabrey,CON,G,35,1103,11.1,.477,.434,.500,.189,1.8,7.9,24.3,1.1,0.9,15.6,25.8,92,114,-1.1,-0.1,-1.1,-0.041
Natasha Mack,PHO,F-C,34,623,19.5,.569,.573,.032,.290,14.1,18.1,7.7,2.5,7.9,9.7,11.2,125,96,1.6,1.7,3.2,.207
Ezi Magbegor,SEA,F-C,44,1203,16.1,.547,.517,.168,.290,8.2,13.6,11.6,1.3,7.2,11.8,13.9,113,100,2.1,2.4,4.5,.151
Dominique Malonga,SEA,C,42,600,20.0,.566,.559,.068,.194,10.5,19.5,11.3,1.5,4.2,14.4,25.5,102,99,0.6,1.3,1.9,.126
Rayah Marshall,CON,C-F,15,90,7.1,.400,.346,.038,.462,8.9,17.2,7.6,1.2,3.2,18.3,19.3,80,109,-0.2,0.1,-0.2,-0.073
Kate Martin,GSV,G,42,687,9.4,.459,.430,.692,.154,3.5,9.5,10.9,1.3,0.6,10.7,21.6,93,104,-0.4,1.0,0.6,.032
Kayla McBride,MIN,G,39,1220,16.0,.584,.536,.610,.245,1.0,4.3,17.1,2.1,0.2,12.4,20.4,113,104,2.9,1.7,4.6,.152
Megan McConnell,PHO,G,1,13,15.4,.375,.375,.500,.000,8.6,4.4,34.6,3.9,0.0,0.0,13.8,119,104,0.0,0.0,0.1,.162
Teaira McCowan,DAL,C,17,219,20.3,.596,.545,.030,.433,15.1,20.4,7.8,1.2,5.2,16.7,19.0,113,108,0.5,0.2,0.7,.127
Aari McDonald,IND,G,20,525,14.0,.555,.506,.506,.331,2.0,5.4,27.3,2.4,0.5,20.7,19.0,106,106,0.7,0.6,1.4,.104
Emma Meesseman,NYL,F,17,440,22.8,.650,.616,.132,.233,6.2,11.5,23.0,2.5,2.7,17.0,22.2,115,102,1.3,0.8,2.1,.192
Jade Melbourne,WAS,G,43,1008,7.4,.496,.458,.422,.324,2.1,4.9,20.2,1.3,0.8,21.9,15.1,93,109,-0.5,0.7,0.2,.007
Kelsey Mitchell,IND,G,44,1381,19.9,.574,.536,.408,.275,1.6,3.4,19.6,1.4,0.5,9.1,27.7,114,109,4.5,1.0,5.6,.161
Aneesah Morrow,CON,F,41,775,15.0,.461,.405,.251,.318,12.4,21.7,5.0,2.1,2.3,11.7,22.6,95,106,-0.2,0.9,0.7,.034
Murjanatu Musa,PHO,C,12,122,13.6,.502,.471,.057,.314,16.6,14.5,9.4,1.7,1.5,14.9,17.3,107,104,0.2,0.2,0.3,.109
Olivia Nelson-Ododa,CON,C,37,800,17.2,.578,.528,.009,.516,8.6,13.7,7.8,1.8,5.2,13.2,17.3,111,109,1.5,0.6,2.1,.104
Kia Nurse,CHI,G,44,962,7.1,.496,.459,.625,.213,2.2,6.3,9.6,0.8,0.2,14.7,17.4,95,117,-0.2,-0.4,-0.6,-0.025
