site,seed,policy,seasons,step,marker,year,phase,i_expansion,mu_size,compete_local,n_star_fa,bidding_intensity,travel_fatigue,leverage,cash_flow,cash_flow_cum,cash,franchise_value,debt,owner_share,terminal_value,win_pct,elo,syn,a_roster,a_salary,a_ticket,a_marketing,a_debt,a_equity
Nashville,0,ppo,3,12,season_end,2028,offseason,0,0.6128457972183027,1,1,7.559671991574587,0.12,0.4330231855291282,0.528615360891088,89.918819236654,205.84639302257125,410.89618231065504,177.92757378591728,1.0,232.96860852473776,0.08809768823703687,1415.1020393679369,-3.164847287762709,6,4,1,0,2,0
Nashville,1,baseline,0,1,offseason_decision,2025,offseason,0,0.6148457972183027,0,3,5.0,0.0,0.2,0.0,0.0,5.0,335.0,67.0,1.0,268.0,0.545,1488.4828510831296,-4.241364390609727,3,2,2,1,2,0
Nashville,1,baseline,1,4,season_end,2026,offseason,1,0.6128457972183027,1,0,8.258739799935874,0.12,0.183787985930161,18.04449649608705,76.08385231356586,81.08385231356586,364.5504882210301,67.0,1.0,297.5504882210301,0.3356710778288208,1471.813290975986,-2.0257300870442636,3,2,2,1,2,0
Nashville,1,baseline,1,5,offseason_decision,2026,offseason,1,0.6128457972183027,1,0,8.258739799935874,0.12,0.183787985930161,18.04449649608705,76.08385231356586,81.08385231356586,364.5504882210301,67.0,1.0,297.5504882210301,0.3356710778288208,1471.813290975986,-2.0257300870442636,3,2,2,1,2,0
Nashville,1,baseline,2,8,season_end,2027,offseason,0,0.6128457972183027,1,0,7.076739157519347,0.12,0.13982556938283544,12.016628095650203,147.00762577537154,152.00762577537154,479.1684403340947,67.0,1.0,412.1684403340947,0.23515509949614727,1453.4265391825693,-2.029977051063036,3,2,2,1,2,0
Nashville,1,baseline,2,9,offseason_decision,2027,offseason,0,0.6128457972183027,1,0,7.076739157519347,0.12,0.13982556938283544,12.016628095650203,147.00762577537154,152.00762577537154,479.1684403340947,67.0,1.0,412.1684403340947,0.23515509949614727,1453.4265391825693,-2.029977051063036,3,2,2,1,2,0
Nashville,1,baseline,3,12,season_end,2028,offseason,0,0.6128457972183027,1,0,6.804615336695252,0.12,0.1283056124531902,16.645046437916385,198.7242145104222,203.7242145104222,522.1907188545134,67.0,1.0,455.1907188545134,0.22048764997001158,1437.4570149228448,-2.015409646087405,3,2,2,1,2,0
Nashville,1,aggressive,0,1,offseason_decision,2025,offseason,0,0.6148457972183027,0,3,5.0,0.0,0.2,0.0,0.0,5.0,335.0,67.0,1.0,268.0,0.545,1488.4828510831296,-4.241364390609727,6,5,6,3,4,0
Nashville,1,aggressive,1,4,season_end,2026,offseason,1,0.6128457972183027,1,0,8.258739799935874,0.12,0.4921601892035354,9.748033349379618,56.037601644740356,173.85264131072748,365.3587665369327,179.81503966598711,1.0,185.5437268709456,0.2538290373643363,1464.6770557285884,-3.1504530283677803,6,5,6,3,4,0
Nashville,1,aggressive,1,5,offseason_decision,2026,offseason,1,0.6128457972183027,1,0,8.258739799935874,0.12,0.4921601892035354,9.748033349379618,56.037601644740356,173.85264131072748,365.3587665369327,179.81503966598711,1.0,185.5437268709456,0.2538290373643363,1464.6770557285884,-3.1504530283677803,6,5,6,3,2,0
Nashville,1,aggressive,2,8,season_end,2027,offseason,0,0.6128457972183027,1,0,7.076739157519347,0.12,0.38183774946305477,-0.006758258659793626,85.30638447821997,203.12142414420708,470.9200175175068,179.81503966598711,1.0,291.10497785151966,0.1464876857387274,1441.3987500123274,-3.1546999923865524,6,5,6,3,2,0
Nashville,1,aggressive,2,9,offseason_decision,2027,offseason,0,0.6128457972183027,1,0,7.076739157519347,0.12,0.38183774946305477,-0.006758258659793626,85.30638447821997,203.12142414420708,470.9200175175068,179.81503966598711,1.0,291.10497785151966,0.1464876857387274,1441.3987500123274,-3.1546999923865524,6,5,6,3,2,0
Nashville,1,aggressive,3,12,season_end,2028,offseason,0,0.6128457972183027,1,0,6.804615336695252,0.12,0.35998822707082495,6.166697988817024,90.19377540645483,208.00881507244196,499.50255631723724,179.81503966598711,1.0,319.6875166512501,0.11802618371382786,1419.6411542270246,-3.140132587410922,6,5,6,3,2,0
Nashville,1,defensive,0,1,offseason_decision,2025,offseason,0,0.6148457972183027,0,3,5.0,0.0,0.2,0.0,0.0,5.0,335.0,67.0,1.0,268.0,0.545,1488.4828510831296,-4.241364390609727,3,1,2,3,1,0
Nashville,1,defensive,1,4,season_end,2026,offseason,1,0.6128457972183027,1,0,8.258739799935874,0.12,0.027712199423761026,19.383829334725192,76.3863636022317,24.744757879451996,373.78463249433696,10.358394277220292,1.0,363.4262382171167,0.3283777869664858,1471.1669000256434,-2.0988733315112986,3,1,2,3,1,0
Nashville,1,defensive,1,5,offseason_decision,2026,offseason,1,0.6128457972183027,1,0,8.258739799935874,0.12,0.027712199423761026,19.383829334725192,76.3863636022317,24.744757879451996,373.78463249433696,10.358394277220292,1.0,363.4262382171167,0.3283777869664858,1471.1669000256434,-2.0988733315112986,3,1,2,3,1,0
Nashville,1,defensive,2,8,season_end,2027,offseason,0,0.6128457972183027,1,0,7.076739157519347,0.12,0.0,16.403785609264332,158.07252747153407,96.0725274715341,502.07718368567544,0.0,1.0,502.07718368567544,0.22623793455072377,1452.2411260567656,-2.103120295530071,3,1,2,3,1,0
Nashville,1,defensive,2,9,offseason_decision,2027,offseason,0,0.6128457972183027,1,0,7.076739157519347,0.12,0.0,16.403785609264332,158.07252747153407,96.0725274715341,502.07718368567544,0.0,1.0,502.07718368567544,0.22623793455072377,1452.2411260567656,-2.103120295530071,3,1,2,3,1,0
Nashville,1,defensive,3,12,season_end,2028,offseason,0,0.6128457972183027,1,0,6.804615336695252,0.12,0.0,19.491861932051272,225.8367818253206,163.83678182532063,559.3346749147811,0.0,1.0,559.3346749147811,0.21060778825835869,1435.715830238098,-2.08855289055444,3,1,2,3,1,0
Nashville,1,ppo,0,1,offseason_decision,2025,offseason,0,0.6148457972183027,0,3,5.0,0.0,0.2,0.0,0.0,5.0,335.0,67.0,1.0,268.0,0.545,1488.4828510831296,-4.241364390609727,6,4,1,0,4,0
Nashville,1,ppo,1,4,season_end,2026,offseason,1,0.6128457972183027,1,0,8.258739799935874,0.12,0.5071727956168269,11.419867583753563,62.75576690838728,178.90762899492984,351.2646254416565,178.15186208654254,1.0,173.11276335511397,0.2538290373643363,1464.6770557285884,-3.1504530283677803,6,4,1,0,4,0
Nashville,1,ppo,1,5,offseason_decision,2026,offseason,1,0.6128457972183027,1,0,8.258739799935874,0.12,0.5071727956168269,11.419867583753563,62.75576690838728,178.90762899492984,351.2646254416565,178.15186208654254,1.0,173.11276335511397,0.2538290373643363,1464.6770557285884,-3.1504530283677803,6,4,1,0,1,0
Nashville,1,ppo,2,8,season_end,2027,offseason,0,0.6128457972183027,1,0,7.076739157519347,0.12,0.2627636680752682,5.572151278496751,105.95004234316892,158.49752827140114,435.93350164155976,114.54748592823219,1.0,321.38601571332754,0.1464876857387274,1441.3987500123274,-3.1546999923865524,6,4,1,0,1,0
Nashville,1,ppo,2,9,offseason_decision,2027,offseason,0,0.6128457972183027,1,0,7.076739157519347,0.12,0.2627636680752682,5.572151278496751,105.95004234316892,158.49752827140114,435.93350164155976,114.54748592823219,1.0,321.38601571332754,0.1464876857387274,1441.3987500123274,-3.1546999923865524,6,4,1,0,4,0
Nashville,1,ppo,3,12,season_end,2028,offseason,0,0.6128457972183027,1,0,6.804615336695252,0.12,0.5512570911038002,4.498091653297653,121.33927061593322,304.2999594498924,444.3674154711848,244.96068883395915,1.0,199.40672663722566,0.11802618371382786,1419.6411542270246,-3.140132587410922,6,4,1,0,4,0
Denver,0,baseline,0,1,offseason_decision,2025,offseason,0,0.6148457972183027,0,3,5.0,0.0,0.2,0.0,0.0,5.0,335.0,67.0,1.0,268.0,0.545,1488.4828510831296,-4.241364390609727,3,2,2,1,2,0
Denver,0,baseline,1,4,season_end,2026,offseason,1,0.6272457972183026,0,0,6.591126133316471,0.4607,0.18641103100690656,17.671588824230675,75.07089157883459,80.07089157883459,359.4207898432665,67.0,1.0,292.4207898432665,0.29904814030471194,1469.190844564497,-2.08613092937585,3,2,2,1,2,0
Denver,0,baseline,1,5,offseason_decision,2026,offseason,1,0.6272457972183026,0,0,6.591126133316471,0.4607,0.18641103100690656,17.671588824230675,75.07089157883459,80.07089157883459,359.4207898432665,67.0,1.0,292.4207898432665,0.29904814030471194,1469.190844564497,-2.08613092937585,3,2,2,1,2,0
Denver,0,baseline,2,8,season_end,2027,offseason,0,0.6272457972183026,0,0,6.7295181690244945,0.4607,0.1544462090757877,16.36376947756804,129.10255260038903,134.10255260038903,433.80799309306894,67.0,1.0,366.80799309306894,0.17847783708438247,1447.1382055497368,-1.942932688541538,3,2,2,1,2,0
Denver,0,baseline,2,9,offseason_decision,2027,offseason,0,0.6272457972183026,0,0,6.7295181690244945,0.4607,0.1544462090757877,16.36376947756804,129.10255260038903,134.10255260038903,433.80799309306894,67.0,1.0,366.80799309306894,0.17847783708438247,1447.1382055497368,-1.942932688541538,3,2,2,1,2,0
Denver,0,baseline,3,12,season_end,2028,offseason,0,0.6272457972183026,0,1,7.559671991574587,0.4607,0.14221117391168306,12.268695553404676,185.94528032830598,190.94528032830598,471.1303490231281,67.0,1.0,404.1303490231281,0.17566752594824223,1429.4842074307235,-2.040124346439193,3,2,2,1,2,0
Denver,0,aggressive,0,1,offseason_decision,2025,offseason,0,0.6148457972183027,0,3,5.0,0.0,0.2,0.0,0.0,5.0,335.0,67.0,1.0,268.0,0.545,1488.4828510831296,-4.241364390609727,6,5,6,3,4,0
