site,policy,seasons,n,win_pct_mean,win_pct_std,cash_flow_mean,cash_flow_std,cash_flow_cum_mean,cash_flow_cum_std,terminal_value_mean,terminal_value_std,leverage_mean,leverage_std,franchise_value_mean,franchise_value_std,debt_mean,debt_std
SanDiego,defensive,1,6,0.31453811357996064,0.013092699027091464,18.562140685687552,2.4714824020796335,73.3012222670315,5.385231728498207,357.133183928576,9.793566009456095,0.02869099138767762,0.0017964379895109117,367.66550677961555,9.438371746162817,10.532322851039652,0.39305989717046985
SanDiego,defensive,2,6,0.2290874298602936,0.020611508345322795,18.269202992332833,1.4127793168880702,148.18138411411664,7.808653372477067,460.8867792555491,18.18653056226929,0.0,0.0,460.8867792555491,18.18653056226929,0.0,0.0
SanDiego,defensive,3,6,0.19047216923344146,0.017307364233571976,19.954283917302202,2.1812385510267007,225.74890724293118,6.808813773832555,543.9833137481565,22.72432148351075,0.0,0.0,543.9833137481565,22.72432148351075,0.0,0.0
SanDiego,ppo,1,6,0.3125764446965104,0.014831140701836349,18.646689359238156,2.6402710375145486,74.17647884715,6.053575494601666,356.4922258412352,9.575965700349863,0.028790512415399084,0.0017465809689583283,367.0440346811354,9.233645358161546,10.551808839900138,0.37845650311523843
SanDiego,ppo,2,6,0.2266489614763233,0.026357432973000357,18.225600277282222,1.68728922891179,148.43150393125802,8.128564348294528,458.6194020681824,19.001764220287654,0.0,0.0,458.6194020681824,19.001764220287654,0.0,0.0
SanDiego,ppo,3,6,0.19135344075742441,0.031861392223510476,20.10124126781542,2.0316022766464816,226.8245137377668,5.705748099658747,541.3706061087532,16.67472646097268,0.0,0.0,541.3706061087532,16.67472646097268,0.0,0.0
Toronto,aggressive,1,6,0.2483305721251292,0.00855816639385978,8.366119160827017,3.834887409370744,51.52550625300554,7.573660194386225,180.48348768936148,8.851225423113776,0.498908078867877,0.011536374384216338,359.960580725362,9.582967746150445,179.47709303600053,0.8170905353654375
Toronto,aggressive,2,6,0.14066272659935378,0.01393821794491639,4.027668838183778,3.1943418174361913,69.70234836141479,13.268789539208283,269.0533473515281,17.864124752643754,0.40076243106563963,0.015206765474459368,448.53044038752864,18.278499741064746,179.47709303600053,0.8170905353654375
Toronto,aggressive,3,6,0.10190250085748,0.012153781574847216,7.355144496703116,3.983951557558807,94.91264061390973,11.064557731657406,323.7775305291341,19.36624015875356,0.3571660518694371,0.013698674954222048,503.2546235651345,19.76654176795385,179.47709303600053,0.8170905353654375
Toronto,baseline,1,6,0.3214322158687788,0.013271433461947906,16.97494995741588,3.040785696103669,72.36650238053949,6.308835651180228,291.53630227672915,9.263176743330545,0.1869981923821452,0.004928051809275419,358.53630227672915,9.263176743330545,67.0,0.0
Toronto,baseline,2,6,0.2386945900407045,0.020736700158229805,15.363349195273528,2.2120145290465243,136.60059612355215,10.010532896583369,389.756338045102,18.018800994585607,0.14691111439732063,0.005694951656527182,456.756338045102,18.018800994585607,67.0,0.0
Toronto,baseline,3,6,0.20047699129291982,0.017271499825811082,17.89214171093851,3.0333614703753553,204.4367378992257,8.491912587258302,460.7182947880988,22.143400379946364,0.12719517106571052,0.00556953561473965,527.7182947880987,22.143400379946364,67.0,0.0
Toronto,defensive,1,6,0.31453811357996064,0.013092699027091464,18.562140685687552,2.4714824020796335,73.3012222670315,5.385231728498207,357.133183928576,9.793566009456095,0.02869099138767762,0.0017964379895109117,367.66550677961555,9.438371746162817,10.532322851039652,0.39305989717046985
Toronto,defensive,2,6,0.2290874298602936,0.020611508345322795,18.953637038275442,1.4620067104833676,151.0314552334753,7.927502650547709,478.6138358407755,18.794572449167962,0.0,0.0,478.6138358407755,18.794572449167962,0.0,0.0
Toronto,defensive,3,6,0.19047216923344146,0.017307364233571976,20.693100841421167,2.260449469664324,230.9694167140226,6.9321713499398285,564.9087116083792,23.559011730581588,0.0,0.0,564.9087116083792,23.559011730581588,0.0,0.0
Toronto,ppo,1,6,0.30943462963421337,0.0167321764185817,18.510756240260733,2.7510097407731737,73.80945131196701,6.224680464090971,356.1949976372736,9.765592413517485,0.028829182258082325,0.0017646969993321136,366.75208259938194,9.425878819678775,10.557084962108297,0.3755319999365324
Toronto,ppo,2,6,0.22607179435815183,0.03104340101391799,18.71487510282657,1.5829464433389562,149.88149182292165,8.490997940240796,475.7703359208312,20.467218947340637,0.0,0.0,475.7703359208312,20.467218947340637,0.0,0.0
Toronto,ppo,3,6,0.19514726457592424,0.03765863235461264,20.917494844843713,2.378345365010005,230.80231199355603,6.9317116302128285,562.5035921264534,25.618241349724023,0.0,0.0,562.5035921264534,25.618241349724023,0.0,0.0
