Season,Date,home_abbr,away_abbr,home_pts,away_pts,home_win,opponent_abbr,ELO_t,opp_pre_elo_t,O_mean,O_var,O_p90,SOS_t,elo_avg_pre,O_t_list_json,O_len,O_mean_calc,O_var_calc,O_p90_calc
2017,2017-05-17,PHO,IND,85.0,62.0,1.0,PHO,1491.1868103054655,1488.5707376518324,1506.2425423862044,143.43564994281493,1517.3013830284629,1.0041616949241363,1499.9999999999998,"[1488.571,1517.135,1517.373,1501.892]",4,1506.24275,143.43583718750085,1517.3016
2017,2017-05-20,IND,CON,81.0,79.0,1.0,CON,1482.5422361160315,1488.5707376518324,1512.1331439643284,52.450785448299335,1517.325196572129,1.0080887626428858,1499.9999999999998,"[1517.135,1517.373,1501.892]",3,1512.1333333333332,52.45189488888866,1517.3254
2017,2017-05-24,IND,LAS,93.0,90.0,1.0,LAS,1491.2833488850374,1517.1346882227988,1509.6323718350932,59.91459444536973,1515.824733294588,1.0064215812233956,1499.9999999999998,"[1517.373,1501.892]",2,1509.6325000000002,59.91534024999996,1515.8249
2017,2017-05-28,SEA,IND,94.0,70.0,1.0,SEA,1500.589411671014,1517.3728236594616,1501.8919200107246,0.0,1501.8919200107246,1.0012612800071496,1500.0,[1501.892],1,1501.892,0.0,1501.892
2017,2017-05-30,DAL,IND,89.0,62.0,1.0,DAL,1492.4882640441324,1501.8919200107246,,,,,1500.0,[],0,,,
2018,2018-05-19,IND,CHI,64.0,82.0,0.0,CHI,1500.0,1500.0,1511.3251812010776,47.9781828548644,1517.1699321821666,1.0075501208007185,1500.0,"[1500.0,1511.429,1516.35,1517.521]",4,1511.325,47.97687049999964,1517.1697
2018,2018-05-20,WAS,IND,82.0,75.0,1.0,WAS,1488.5707376518324,1500.0,1515.100241601437,6.9665863677123285,1517.287032659214,1.0100668277342917,1499.9999999999998,"[1511.429,1516.35,1517.521]",3,1515.1000000000001,6.96666066666631,1517.2867999999999
2018,2018-05-22,IND,LAS,70.0,87.0,0.0,LAS,1480.3206175418784,1511.4292623481676,1516.9357312280713,0.3428130431193724,1517.4041331362616,1.011290487485381,1499.9999999999998,"[1516.35,1517.521]",2,1516.9355,0.34281025000002874,1517.4039
2018,2018-05-24,IND,WAS,84.0,93.0,0.0,WAS,1469.7774158506572,1516.3502288428333,1517.5212336133093,0.0,1517.5212336133093,1.011680822408873,1500.0,[1517.521],1,1517.521,0.0,1517.521
2018,2018-05-26,CON,IND,86.0,77.0,1.0,CON,1459.678776678499,1517.5212336133093,,,,,1500.0,[],0,,,
2019,2019-05-24,NYL,IND,80.0,81.0,0.0,NYL,1500.0,1500.0,1508.5707376518324,0.0,1508.5707376518324,1.0057138251012216,1500.0,[1508.571],1,1508.571,0.0,1508.571
2019,2019-05-28,CON,IND,88.0,77.0,1.0,CON,1511.4292623481676,1508.5707376518324,,,,,1499.9999999999998,[],0,,,
2020,2020-07-25,WAS,IND,101.0,76.0,1.0,WAS,1500.0,1500.0,1505.6718869310475,2231.845971709205,1561.5315046962055,1.0037812579540315,1500.0,"[1488.571,1499.92,1507.462,1502.249,1529.356,1494.063,1528.276,1447.413,1528.997,1481.753,1582.309,1543.551,1561.532,1458.824,1525.061,1419.895,1533.242,1490.736,1578.674,1388.924,1528.304]",21,1505.6719999999998,2231.852935523809,1561.532
