off_action,reg_action,win_mean,cf_mean,debt_mean,base_win,base_cf,base_debt,improved_all,score,site
"(4, 3, 2, 1, 1, 0)","(3, 3, 4, 2, 1, 0)",0.29925804885446367,10.661210541943937,10.152560582347487,0.31751915566641953,9.962909002941036,41.95411804814745,0,2.0523466043873118,StLouis
"(5, 2, 2, 1, 0, 0)","(3, 2, 3, 1, 0, 0)",0.31773397810340503,11.649142308879131,4.112027995194051,0.31751915566641953,9.962909002941036,41.95411804814745,1,5.491924554931987,StLouis
"(4, 2, 2, 1, 1, 1)","(3, 2, 3, 1, 1, 1)",0.311405216760251,11.24694479427233,10.159322795537918,0.31751915566641953,9.962909002941036,41.95411804814745,0,3.852121425975397,StLouis
"(3, 1, 2, 1, 1, 0)","(3, 1, 3, 2, 1, 0)",0.31353732478806573,11.264653140992028,10.143922721837662,0.31751915566641953,9.962909002941036,41.95411804814745,0,4.084580582846591,StLouis
"(5, 3, 2, 1, 0, 1)","(3, 3, 2, 2, 0, 1)",0.30915430614179507,11.106506310727053,4.112027995194051,0.31751915566641953,9.962909002941036,41.95411804814745,0,4.0913213606189105,StLouis
"(6, 1, 2, 1, 1, 0)","(3, 1, 3, 2, 1, 0)",0.30008902835053824,11.090158005809418,10.152518402928461,0.31751915566641953,9.962909002941036,41.95411804814745,0,2.5643962358021524,StLouis
"(6, 2, 2, 1, 1, 1)","(3, 2, 4, 2, 1, 1)",0.31715203736856795,11.03083714770488,10.143909406938555,0.31751915566641953,9.962909002941036,41.95411804814745,0,4.212237179099576,StLouis
"(5, 2, 2, 1, 1, 0)","(3, 2, 4, 1, 1, 0)",0.31773397810340503,11.286327556107857,10.158940541381934,0.31751915566641953,9.962909002941036,41.95411804814745,1,4.524418547541924,StLouis
"(5, 1, 2, 1, 0, 0)","(3, 1, 4, 1, 0, 0)",0.3014054461514109,11.721093598537383,4.112027995194051,0.31751915566641953,9.962909002941036,41.95411804814745,0,3.931022649390825,StLouis
"(5, 3, 2, 1, 1, 0)","(3, 3, 3, 2, 1, 0)",0.30915430614179507,10.734625563772758,10.149371886640063,0.31751915566641953,9.962909002941036,41.95411804814745,0,3.115706224520015,StLouis
"(3, 3, 2, 1, 0, 0)","(3, 3, 2, 1, 0, 0)",0.31761480350146865,11.553533279338428,4.112027995194051,0.31751915566641953,9.962909002941036,41.95411804814745,1,5.384398065197644,StLouis
"(5, 2, 2, 1, 1, 0)","(3, 2, 3, 1, 1, 0)",0.31773397810340503,11.286327556107857,10.158940541381934,0.31751915566641953,9.962909002941036,41.95411804814745,1,4.524418547541924,StLouis
"(6, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.31715203736856795,11.642896764461842,4.112027995194051,0.31751915566641953,9.962909002941036,41.95411804814745,0,5.4274849370309886,StLouis
"(6, 1, 2, 1, 1, 0)","(3, 1, 2, 2, 1, 0)",0.30008902835053824,11.090158005809418,10.152518402928461,0.31751915566641953,9.962909002941036,41.95411804814745,0,2.5643962358021524,StLouis
"(5, 1, 2, 1, 1, 0)","(3, 1, 4, 1, 1, 0)",0.3014054461514109,11.357786680158469,10.167143301509315,0.31751915566641953,9.962909002941036,41.95411804814745,0,2.962204200380385,StLouis
"(6, 2, 2, 1, 1, 0)","(3, 2, 3, 1, 1, 0)",0.31715203736856795,11.280192486541258,10.157099293870438,0.31751915566641953,9.962909002941036,41.95411804814745,0,4.460273529242767,StLouis
"(4, 2, 2, 1, 1, 1)","(3, 2, 4, 1, 1, 1)",0.311405216760251,11.24694479427233,10.159322795537918,0.31751915566641953,9.962909002941036,41.95411804814745,0,3.852121425975397,StLouis
"(5, 3, 2, 1, 0, 1)","(3, 3, 3, 2, 0, 1)",0.30915430614179507,11.106506310727053,4.112027995194051,0.31751915566641953,9.962909002941036,41.95411804814745,0,4.0913213606189105,StLouis
"(6, 3, 2, 1, 1, 0)","(3, 3, 4, 1, 1, 0)",0.27560596677794524,10.744560953417842,10.179117443093467,0.31751915566641953,9.962909002941036,41.95411804814745,0,-0.2321668778652235,StLouis
"(5, 3, 2, 1, 1, 1)","(3, 3, 4, 2, 1, 1)",0.30915430614179507,10.744265677240293,10.149371886640063,0.31751915566641953,9.962909002941036,41.95411804814745,0,3.12534633798755,StLouis
"(6, 3, 2, 1, 0, 0)","(3, 3, 4, 2, 0, 0)",0.27560596677794524,10.852308160613353,4.112027995194051,0.31751915566641953,9.962909002941036,41.95411804814745,0,0.4822892741202285,StLouis
"(3, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.31751915566641953,11.76145057807658,4.112027995194051,0.31751915566641953,9.962909002941036,41.95411804814745,0,5.582750580430885,StLouis
"(5, 2, 2, 1, 0, 1)","(3, 2, 3, 2, 0, 1)",0.31773397810340503,11.398876462028365,4.112027995194051,0.31751915566641953,9.962909002941036,41.95411804814745,1,5.2416587080812205,StLouis
"(3, 3, 2, 1, 0, 1)","(3, 3, 2, 1, 0, 1)",0.31761480350146865,11.562714245813192,4.112027995194051,0.31751915566641953,9.962909002941036,41.95411804814745,1,5.393579031672408,StLouis
"(6, 1, 2, 1, 0, 1)","(3, 1, 3, 1, 0, 1)",0.30008902835053824,11.718495867741252,4.112027995194051,0.31751915566641953,9.962909002941036,41.95411804814745,0,3.796783138507428,StLouis
"(5, 1, 2, 1, 0, 1)","(3, 1, 2, 2, 0, 1)",0.3014054461514109,11.471135750220704,4.112027995194051,0.31751915566641953,9.962909002941036,41.95411804814745,0,3.681064801074146,StLouis
"(5, 2, 2, 1, 1, 0)","(3, 2, 4, 1, 1, 0)",0.31773397810340503,11.286327556107857,10.158940541381934,0.31751915566641953,9.962909002941036,41.95411804814745,1,4.524418547541924,StLouis
