site,param,value,team,owner_delta,win_delta,cf_delta
Columbus,compete_revenue_beta,0.04,CHI,18.171150555869644,-0.0024257533674520992,0.0854649853548537
Columbus,compete_revenue_beta,0.04,CON,14.007417125776556,-0.002385294547382566,0.06833445405035121
Columbus,compete_revenue_beta,0.04,DAL,10.382434517737465,-0.004518587582973521,-0.1015255147498273
Columbus,compete_revenue_beta,0.04,GSV,14.354021781068184,-0.012289389653035554,-0.43277232059152837
Columbus,compete_revenue_beta,0.04,IND,9.788259129798064,-0.0012380951219170822,-0.16345663829890356
Columbus,compete_revenue_beta,0.04,LAS,14.912819209519057,-0.014958917748504108,-0.4727994825669626
Columbus,compete_revenue_beta,0.04,LVA,20.725797654243706,-0.004362180269903454,-0.22143821291574994
Columbus,compete_revenue_beta,0.04,MIN,17.873665506160762,-0.003735839539052821,0.0841214672578019
Columbus,compete_revenue_beta,0.04,NYL,19.96521525528044,-0.005050988144759683,0.11280201039373594
Columbus,compete_revenue_beta,0.04,PHO,20.388886213752812,-0.01449357245275773,-0.5047183244596241
Columbus,compete_revenue_beta,0.04,SEA,19.83107642798757,-0.013645137824767506,-0.5218427534994774
Columbus,compete_revenue_beta,0.04,WAS,10.354041327135661,-0.002266633152507136,0.042650064652823616
Columbus,compete_revenue_beta,0.06,ATL,7.794701831710142,-0.004437676136627433,-0.010143327517373457
Columbus,compete_revenue_beta,0.06,CHI,18.171150555869644,-0.0024257533674520992,0.0854649853548537
Columbus,compete_revenue_beta,0.06,CON,14.007417125776556,-0.002385294547382566,0.06833445405035121
Columbus,compete_revenue_beta,0.06,DAL,10.382434517737465,-0.004518587582973521,-0.1015255147498273
Columbus,compete_revenue_beta,0.06,GSV,14.354021781068184,-0.012289389653035554,-0.43277232059152837
Columbus,compete_revenue_beta,0.06,IND,9.788259129798064,-0.0012380951219170822,-0.23598141128990946
Columbus,compete_revenue_beta,0.06,LAS,14.912819209519057,-0.014958917748504108,-0.4727994825669626
Columbus,compete_revenue_beta,0.06,LVA,20.725797654243706,-0.004362180269903454,-0.22143821291574994
Columbus,compete_revenue_beta,0.06,MIN,17.873665506160762,-0.003735839539052821,0.0841214672578019
Columbus,compete_revenue_beta,0.06,NYL,19.96521525528044,-0.005050988144759683,0.11280201039373594
Columbus,compete_revenue_beta,0.06,PHO,20.388886213752812,-0.01449357245275773,-0.5047183244596241
Columbus,compete_revenue_beta,0.06,SEA,19.83107642798757,-0.013645137824767506,-0.5218427534994774
